,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
0,1993-01-29,43.96875,43.96875,43.75,43.9375,25.029366,1003200
1,1993-02-01,43.96875,44.25,43.96875,44.25,25.207382,480500
2,1993-02-02,44.21875,44.375,44.125,44.34375,25.260788,201300
3,1993-02-03,44.40625,44.84375,44.375,44.8125,25.527832,529400
4,1993-02-04,44.96875,45.09375,44.46875,45.0,25.63464,531500
5,1993-02-05,44.96875,45.0625,44.71875,44.96875,25.616825,492100
6,1993-02-08,44.96875,45.125,44.90625,44.96875,25.616825,596100
7,1993-02-09,44.8125,44.8125,44.5625,44.65625,25.438808,122100
8,1993-02-10,44.65625,44.75,44.53125,44.71875,25.474419,379600
9,1993-02-11,44.78125,45.125,44.78125,44.9375,25.599024,19500
10,1993-02-12,44.875,44.875,44.59375,44.59375,25.4032,42500
11,1993-02-16,44.46875,44.46875,43.40625,43.46875,24.762339,374800
12,1993-02-17,43.46875,43.53125,43.28125,43.4375,24.744553,210900
13,1993-02-18,43.9375,43.9375,42.8125,43.40625,24.726744,378100
14,1993-02-19,43.40625,43.5625,43.34375,43.5625,24.815756,34900
15,1993-02-22,43.6875,43.78125,43.5625,43.71875,24.904758,513600
16,1993-02-23,43.84375,43.875,43.46875,43.6875,24.886938,373700
17,1993-02-24,43.71875,44.25,43.71875,44.25,25.207382,26300
18,1993-02-25,44.21875,44.375,44.125,44.34375,25.260788,44500
19,1993-02-26,44.4375,44.4375,44.1875,44.40625,25.296383,66200
20,1993-03-01,44.5625,44.5625,44.21875,44.28125,25.225191,66500
21,1993-03-02,44.3125,44.9375,44.25,44.9375,25.599024,182400
22,1993-03-03,45.0,45.15625,44.9375,45.125,25.705845,280100
23,1993-03-04,45.1875,45.1875,44.875,44.875,25.563414,89500
24,1993-03-05,44.9375,45.125,44.71875,44.75,25.49221,40000
25,1993-03-08,44.84375,45.75,44.84375,45.75,26.061876,50800
26,1993-03-09,45.65625,45.6875,45.5,45.59375,25.972862,169300
27,1993-03-10,45.59375,45.6875,45.40625,45.6875,26.026285,194400
28,1993-03-11,45.71875,45.84375,45.5,45.5625,25.955065,70900
29,1993-03-12,45.1875,45.21875,44.8125,45.09375,25.688038,643600
30,1993-03-15,45.0625,45.3125,45.0625,45.3125,25.812651,310800
31,1993-03-16,45.3125,45.4375,45.3125,45.3125,25.812651,30800
32,1993-03-17,45.25,45.25,44.96875,45.03125,25.652441,21800
33,1993-03-18,45.21875,45.5,45.21875,45.3125,25.812651,59300
34,1993-03-19,45.28125,45.28125,45.03125,45.03125,25.773596,66900
35,1993-03-22,44.59375,44.875,44.5625,44.78125,25.630493,183400
36,1993-03-23,44.90625,44.9375,44.8125,44.875,25.684143,55200
37,1993-03-24,44.8125,45.0625,44.59375,44.875,25.684143,37200
38,1993-03-25,44.90625,45.25,44.84375,45.15625,25.845133,110100
39,1993-03-26,45.125,45.15625,44.875,44.90625,25.702047,101500
40,1993-03-29,44.9375,45.3125,44.9375,45.09375,25.809359,87100
41,1993-03-30,45.15625,45.21875,45.09375,45.21875,25.880896,56000
42,1993-03-31,45.34375,45.46875,45.1875,45.1875,25.863018,111600
43,1993-04-01,45.25,45.25,44.9375,45.03125,25.773596,129500
