,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
0,1993-01-29,43.96875,43.96875,43.75,43.9375,25.43808,1003200
1,1993-02-01,43.96875,44.25,43.96875,44.25,25.619024,480500
2,1993-02-02,44.21875,44.375,44.125,44.34375,25.67329,201300
3,1993-02-03,44.40625,44.84375,44.375,44.8125,25.944685,529400
4,1993-02-04,44.96875,45.09375,44.46875,45.0,26.05323,531500
5,1993-02-05,44.96875,45.0625,44.71875,44.96875,26.035139,492100
6,1993-02-08,44.96875,45.125,44.90625,44.96875,26.035139,596100
7,1993-02-09,44.8125,44.8125,44.5625,44.65625,25.854231,122100
8,1993-02-10,44.65625,44.75,44.53125,44.71875,25.890417,379600
9,1993-02-11,44.78125,45.125,44.78125,44.9375,26.017061,19500
10,1993-02-12,44.875,44.875,44.59375,44.59375,25.818037,42500
11,1993-02-16,44.46875,44.46875,43.40625,43.46875,25.166714,374800
12,1993-02-17,43.46875,43.53125,43.28125,43.4375,25.148619,210900
13,1993-02-18,43.9375,43.9375,42.8125,43.40625,25.130527,378100
14,1993-02-19,43.40625,43.5625,43.34375,43.5625,25.220974,34900
15,1993-02-22,43.6875,43.78125,43.5625,43.71875,25.311441,513600
16,1993-02-23,43.84375,43.875,43.46875,43.6875,25.293352,373700
17,1993-02-24,43.71875,44.25,43.71875,44.25,25.619024,26300
18,1993-02-25,44.21875,44.375,44.125,44.34375,25.67329,44500
19,1993-02-26,44.4375,44.4375,44.1875,44.40625,25.709478,66200
20,1993-03-01,44.5625,44.5625,44.21875,44.28125,25.637117,66500
21,1993-03-02,44.3125,44.9375,44.25,44.9375,26.017061,182400
22,1993-03-03,45.0,45.15625,44.9375,45.125,26.125608,280100
23,1993-03-04,45.1875,45.1875,44.875,44.875,25.980873,89500
24,1993-03-05,44.9375,45.125,44.71875,44.75,25.908497,40000
25,1993-03-08,44.84375,45.75,44.84375,45.75,26.487453,50800
26,1993-03-09,45.65625,45.6875,45.5,45.59375,26.39699,169300
27,1993-03-10,45.59375,45.6875,45.40625,45.6875,26.451269,194400
28,1993-03-11,45.71875,45.84375,45.5,45.5625,26.378912,70900
29,1993-03-12,45.1875,45.21875,44.8125,45.09375,26.107519,643600
30,1993-03-15,45.0625,45.3125,45.0625,45.3125,26.234177,310800
31,1993-03-16,45.3125,45.4375,45.3125,45.3125,26.234177,30800
32,1993-03-17,45.25,45.25,44.96875,45.03125,26.071333,21800
33,1993-03-18,45.21875,45.5,45.21875,45.3125,26.234177,59300
34,1993-03-19,45.28125,45.28125,45.03125,45.03125,26.194466,66900
35,1993-03-22,44.59375,44.875,44.5625,44.78125,26.049036,183400
36,1993-03-23,44.90625,44.9375,44.8125,44.875,26.103571,55200
37,1993-03-24,44.8125,45.0625,44.59375,44.875,26.103571,37200
38,1993-03-25,44.90625,45.25,44.84375,45.15625,26.267174,110100
39,1993-03-26,45.125,45.15625,44.875,44.90625,26.12175,101500
40,1993-03-29,44.9375,45.3125,44.9375,45.09375,26.230822,87100
41,1993-03-30,45.15625,45.21875,45.09375,45.21875,26.303545,56000
42,1993-03-31,45.34375,45.46875,45.1875,45.1875,26.285351,111600
43,1993-04-01,45.25,45.25,44.9375,45.03125,26.194466,129500
44,1993-04-02,44.65625,44.65625,44.09375,44.09375,25.649117,59400
45,1993-04-05,44.4375,44.4375,44.1875,44.3125,25.776375,172200
46,1993-04-06,44.40625,44.40625,44.0625,44.1875,25.703663,129700
47,1993-04-07,44.25,44.34375,44.15625,44.34375,25.794542,28000
48,1993-04-08,44.53125,44.53125,44.09375,44.28125,25.7582,180800
49,1993-04-12,44.71875,44.9375,44.65625,44.90625,26.12175,348500
50,1993-04-13,44.875,45.15625,44.84375,45.0,26.176277,146100
51,1993-04-14,45.03125,45.0625,44.90625,44.9375,26.139931,119600
52,1993-04-15,44.90625,45.03125,44.75,44.9375,26.139931,148600
53,1993-04-16,44.96875,45.03125,44.875,44.9375,26.139931,47900
54,1993-04-19,44.9375,45.0625,44.71875,44.75,26.030857,157000
55,1993-04-20,44.6875,44.75,44.25,44.53125,25.903614,279500
56,1993-04-21,44.625,44.625,44.375,44.5,25.885443,67900
57,1993-04-22,44.3125,44.6875,43.9375,43.9375,25.558233,97700
58,1993-04-23,43.84375,43.96875,43.6875,43.75,25.449169,106000
59,1993-04-26,43.78125,43.9375,43.28125,43.40625,25.249214,62600
60,1993-04-27,43.34375,43.875,43.34375,43.875,25.521887,156800
61,1993-04-28,43.8125,43.90625,43.71875,43.78125,25.467358,85900
62,1993-04-29,43.875,43.96875,43.625,43.96875,25.576416,85000
63,1993-04-30,44.125,44.28125,44.03125,44.03125,25.612776,88500
64,1993-05-03,44.09375,44.3125,43.90625,44.3125,25.776375,80500
65,1993-05-04,44.40625,44.625,44.34375,44.46875,25.867277,149100
66,1993-05-05,44.46875,44.75,44.46875,44.59375,25.939974,109000
67,1993-05-06,44.53125,44.5625,44.40625,44.4375,25.849077,54700
68,1993-05-07,44.46875,44.46875,44.28125,44.34375,25.794542,68000
69,1993-05-10,44.40625,44.6875,44.40625,44.4375,25.849077,113900
70,1993-05-11,44.4375,44.625,44.3125,44.625,25.958141,42600
71,1993-05-12,44.4375,44.59375,44.4375,44.5625,25.921795,31000
